title,link,authors,publication,description,Year,language,flag,what to do,,
[Office of Basic Energy Sciences (BES)] Roundtable on Producing and Managing Large Scientific Data with Artificial Intelligence and Machine Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:9vf0nzSNQJEC,"D Ratner, B Sumpter, F Alexander, JJ Billings, R Coffee, S Cousineau, ...","DOESC Office of Basic Energy Sciences, 2019","To identify specific Priority Research Opportunities (PROs) for artificial intelligence and machine learning (AI/ML) at the US Department of Energy’s scientific user facilities, the Office of Basic Energy Sciences (BES) convened a roundtable of facility experts encompassing the fields of physics, chemistry, materials synthesis science, computational science, detector and accelerator technology, theory, modeling, simulation, and atomic-scale characterization techniques. The roundtable met on October 22–23, 2019, to identify coordinated, long-term AI/ML research efforts that will drive major advances in neutron, photon, and nanoscale sciences. This report describes the four PROs identified at the roundtable: PRO 1 on how AI/ML can extract high-value information from the large datasets; PRO 2 on how AI/ML can use such information in real time to maximize the facilities’ scientific output; PRO 3 on using AI/ML virtual laboratories (i.e., computational models of experimental facilities) to aid the facilities and user community in design and control of machine parameters and the design and execution of experiments, including training AI/ML models for PROs 1 and 2; and PRO 4 on how a shared scientific data infrastructure can provide tools to assemble and analyze the totality of data coming from user facilities. A section of the end of the report provides a summary on computer science and mathematics that highlights where enhanced AI/ML capabilities could be particularly impactful for BES user facilities.",2019,en,,,,
Fibripy: a software environment for fiber analysis from 3d micro-computed tomography data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:ldfaerwXgEUC,"T Perciano, D Ushizima, H Krishnan, D Parkinson, J Sethian",,"Analyzing digital images containing fibrillar structures is important across many science domains, from cytoskeleton detection in biology to filament detection in materials science. This paper introduces FibriPy, a software tool that enables accurate fiber detection from 3D imagery. We provide examples using microcomputed tomography (μ-CT), an imaging technique used for inspection of new materials samples. Our results show that FibriPy can be used for quality control of materials in the manufacturing processes.",,en,,,,
Fast detection of material deformation through structural dissimilarity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:IjCSPb-OGe4C,"D Ushizima, T Perciano, D Parkinson","2015 IEEE International Conference on Big Data (Big Data), 2775-2781, 2015","Designing materials that are resistant to extreme temperatures and brittleness relies on assessing structural dynamics of samples. Algorithms are critically important to characterize material deformation under stress conditions. Here, we report on our design of coarse-grain parallel algorithms for image quality assessment based on structural information and on crack detection of gigabyte-scale experimental datasets. We show how key steps can be decomposed into distinct processing flows, one based on structural similarity (SSIM) quality measure, and another on spectral content. These algorithms act upon image blocks that fit into memory, and can execute independently. We discuss the scientific relevance of the problem, key developments, and decomposition of complementary tasks into separate executions. We show how to apply SSIM to detect material degradation, and illustrate how this metric can be allied to …",2015,en,,,,
Image analysis of ocular fundus for retinopathy characterization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:YOwf2qJgpHMC,"D Ushizima, J Cuadros","Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States), 2010","Automated analysis of ocular fundus images is a common procedure in countries as England, including both nonemergency examination and retinal screening of patients with diabetes mellitus. This involves digital image capture and transmission of the images to a digital reading center for evaluation and treatment referral. In collaboration with the Optometry Department, University of California, Berkeley, we have tested computer vision algorithms to segment vessels and lesions in ground-truth data (DRIVE database) and hundreds of images of non-macular centric and nonuniform illumination views of the eye fundus from EyePACS program. Methods under investigation involve mathematical morphology (Figure 1) for image enhancement and pattern matching. Recently, we have focused in more efficient techniques to model the ocular fundus vasculature (Figure 2), using deformable contours. Preliminary results show accurate segmentation of vessels and high level of true-positive microaneurysms.",2010,en,,,,
Automated detection and analysis of particle beams in laser-plasma accelerator simulations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:KlAtU1dfN6UC,"DM Ushizima, CG Geddes, E Cormier-Michel, EW Bethel, J Jacobsen, ...","Machine Learning, 367-389, 2010","Numerical simulations of laser-plasma wakefield (particle) accelerators [Geddes et al.(2009); Tajima & Dawson (1979)] model the acceleration of electrons trapped in plasma oscillations (wakes) left behind when an intense laser pulse propagates through the plasma. The goal of these simulations is to better understand the process involved in plasma wake generation and how electrons are trapped and accelerated by the wake as in Geddes (2005); Geddes et al.(2004); Pukhov & ter Vehn (2002); Tsung et al.(2007; 2004). Understanding of such accelerators, and their development, offers high accelerating gradients, potentially reducing size and cost of new accelerators.One operating regime of interest is where a trapped subset of electrons loads the wake and forms an isolated group of accelerated particles with low spread in momentum and position [Geddes et al.(2004)], desirable characteristics for many applications. The electrons trapped in the wake may be accelerated to high energies, the plasma gradient in the wake reaching up to a gigaelectronvolt per centimeter [Tajima & Dawson (1979)]. High-energy electron accelerators power intense X-ray radiation to terahertz sources, and are used in many applications including medical radiotherapy and imaging [Geddes et al.(2009)]. To extract information from the simulation about the quality of the beam, a typical approach is to examine plots of the entire dataset, visually determining the parameters necessary to select a subset of particles, which is then further analyzed. This procedure requires",2010,en,,,,
Machine learning on accelerator simulation data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:WF5omc3nYNoC,"DM Ushizima, CGR Geddes, E Cormier-Michel, B Hamann, P Messmer, ...","LBNL, 2009","• Background: manual exploration of particles subjected to acceleration, given space and energy variables.• Goal: use machine learning to automate detection of compact (highest energy) group of particles in simulations;",2009,en,,,,
Feature selection methods applied to multiscale texture,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:VOx2b1Wkg3QC,"DMU Sabino, LDAF COSTA","Proceedings of XVI Simpo “sio Brasileiro de Computacao Gra “fica e …, 2003",Texture is often considered as a repeating pattern of local variations in image intensity which are too fine to be distinguished as separate objects at the observed resolution. A multiscale approach is often necessary to determine particular spatial scales more suitable for pattern recognition.,2003,en,,,,
Lithium Metal Battery Characterization using X-ray Imaging and Machine Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:dTyEYWd-f8wC,"D Ushizima, Y Huang, J Quenum, D Perlmutter, D Parkinson, I Zenyuk","Bulletin of the American Physical Society, 2022","In an ever-demanding world for zero emission clean energy sources, vehicle electrification will bring major contributions as each clean car that substitutes one based on fossil fuel could save 1.5 tons of carbon dioxide per year. To expand the e-vehicle fleet, new solutions to store energy must deliver lighter, longer ranges, and more powerful energy batteries, such as solid-state lithium metal batteries (LMB). Different from traditional lithium-ion, LMB uses solid electrodes and electrolytes, providing superior electrochemical performance and high energy density. Some of the challenges of this new technology are to predict the cycling stability and to prevent the formation of lithium dendrite growth. This harmful phenomenon may occur during LMB charge and discharge, when lithium can deposit irregularly, building up dendrites (lithium plating) that leads to failures, such as short-circuit. These morphologies are key to the …",2022,en,,,,
Validation of Deep Learning Segmentation of CT Images of Fiber-Reinforced Composites,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:JoZmwDi-zQgC,"A Badran, D Parkinson, D Ushizima, D Marshall, E Maillet","Journal of Composites Science 6 (2), 60, 2022","Micro-computed tomography (µCT) is a valuable tool for visualizing microstructures and damage in fiber-reinforced composites. However, the large sets of data generated by µCT present a barrier to extracting quantitative information. Deep learning models have shown promise for overcoming this barrier by enabling automated segmentation of features of interest from the images. However, robust validation methods have not yet been used to quantify the success rate of the models and the ability to extract accurate measurements from the segmented image. In this paper, we evaluate the detection rate for segmenting fibers in low-contrast CT images using a deep learning model with three different approaches for defining the reference (ground-truth) image. The feasibility of measuring sub-pixel feature dimensions from the µCT image, in certain cases where the µCT image intensity is dependent on the feature dimensions, is assessed and calibrated using a higher-resolution image from a polished cross-section of the test specimen in the same location as the µCT image.",2022,en,,,,
A reusable neural network pipeline for unidirectional fiber segmentation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:PELIpwtuRlgC,"A Fioravante de Siqueira, DM Ushizima, SJ van der Walt","Scientific data 9 (1), 1-14, 2022","Fiber-reinforced ceramic-matrix composites are advanced, temperature resistant materials with applications in aerospace engineering. Their analysis involves the detection and separation of fibers, embedded in a fiber bed, from an imaged sample. Currently, this is mostly done using semi-supervised techniques. Here, we present an open, automated computational pipeline to detect fibers from a tomographically reconstructed X-ray volume. We apply our pipeline to a non-trivial dataset by Larson et al. To separate the fibers in these samples, we tested four different architectures of convolutional neural networks. When comparing our neural network approach to a semi-supervised one, we obtained Dice and Matthews coefficients reaching up to 98%, showing that these automated approaches can match human-supervised methods, in some cases separating fibers that human-curated algorithms could not find. The …",2022,en,,,,
The role of biomarkers in cell counting with U‐Net CNN,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:AXPGKjj_ei8C,"S Miramontes, AMH Piergies, LT Grinberg, D Ushizima","Alzheimer's & Dementia 17, e051135, 2021"," Background Imaging methods that are non‐destructive preserve tissue integrity and lead to improved topography analysis for the study of neurodegenerative diseases like Alzheimer’s Disease (AD). Immunofluorescence (IF) staining methods facilitate such investigations by addressing a gradient of intensity variations relevant for in situ cell detection [1] and morphology quantification. This paper reports on the colocalization of proteins and cell structures from human post‐mortem tissue by evaluating IF expression by means of TBR1 and NeuN biomarkers. We compare different U‐Net‐based models by exploring image representations obtained by combining image channels with different biomarkers. Method From an image dataset with 21 full‐size IF micrographs, we augment it by creating a cropping mechanism resulting in 40 to 60 image crops from each micrograph, each crop with 128x128 pixels. Later, we …",2021,en,,,,
ROI Hide and Seek Protocol v1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:Mojj43d5GZwC,"R Sadre, D Ushizima","Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States), 2021","1. Segmentation We provide scripts for the model definition of the U-net architecture adapted from: https://github.com/jvanvugt/pytorch-unet/blob/master/unet.py We developed scripts for preparing the lung segmentation data set. We developed scripts for training the U-Net architecture. We developed scripts for applying the trained U-Net model to perform the ROI Hide and Seek protocol on the classification dataset to create the modified dataset. 2. Classification We provide scripts for the training of the COVID-Net models provided by Linda Wang, this code is adapted from her github repository: https://github.com/lindawangg/COVID-Net/tree/d7b36831d854f57de5bc7557217f5439e86e016f. These scripts were modified to save training log information as well as to load the provided models in their github repo. We developed scripts for training standard Neural Network Models (resnet 50, vgg 11, Alexnet) on the COVID datsets along with the ROI Hide and Seek altered datasets.",2021,en,f,remove links from text,,
REST Interface Generator (RESTInG) v0. 1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:eMMeJKvmdy0C,"K Higa, D Ushizima","Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States), 2021","From a single data description file, this package generates a simple but complete RESTful web interface to a relational database, in the form of containers that run in a Docker environment. This initial version produces containers that are intended for use on the NERSC Spin platform. It was developed as a foundation for the smart catalog created for LDRD FY20 ACTS: Accelerating COVID-19 Testing with Screening.",2021,en,,,,
A reusable pipeline for large-scale fiber segmentation on unidirectional fiber beds using fully convolutional neural networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:uWQEDVKXjbEC,"A Fioravante de Siqueira, D Mayumi Ushizima, S van der Walt","arXiv e-prints, arXiv: 2101.04823, 2021","Fiber-reinforced ceramic-matrix composites are advanced materials resistant to high temperatures, with application to aerospace engineering. Their analysis depends on the detection of embedded fibers, with semi-supervised techniques usually employed to separate fibers within the fiber beds. Here we present an open computational pipeline to detect fibers in ex-situ X-ray computed tomography fiber beds. To separate the fibers in these samples, we tested four different architectures of fully convolutional neural networks. When comparing our neural network approach to a semi-supervised one, we obtained Dice and Matthews coefficients greater than , reaching up to , showing that the network results are close to the human-supervised ones in these fiber beds, in some cases separating fibers that human-curated algorithms could not find. The software we generated in this project is open …",2021,en,,,,
Accelerating Microstructural Analytics with Dask for Volumetric X-ray Images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:dshw04ExmUIC,"D Ushizima, M McCormick, D Parkinson","2020 IEEE/ACM 9th Workshop on Python for High-Performance and Scientific …, 2020","While X-ray microtomography has become indispensable in 3D inspections of materials, efficient processing of such volumetric datasets continues to be a challenge. This paper describes a computational environment for HPC to facilitate parallelization of algorithms in computer vision and machine learning needed for microstructure characterization and interpretation. The contribution is to accelerate microstructural analytics by employing Dask high-level parallel abstractions, which scales Numpy workflows to enable multi-dimensional image analysis of diverse specimens. We illustrate our results using an example from materials sciences, emphasizing the benefits of parallel execution of image-dependent tasks. Preliminary results show that the proposed environment configuration and scientific software stack deployed using JupyterLab at NERSC Cori enables near-real time analyses of complex, high-resolution …",2020,en,,,,
Synchrotron Microtomography and Neutron Radiography Characterization of the Microstruture and Water Absorption of Concrete from Pompeii,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:bnK-pcrLprsC,"K Xu, AS Tremsin, J Li, DM Ushizima, CA Davy, A Bouterf, YT Su, ...","arXiv preprint arXiv:2005.13114, 2020","There is renewed interest in using advanced techniques to characterize ancient Roman concrete. In the present work, samples were drilled from the ""Hospitium"" in Pompeii and were analyzed by synchrotron microtomography (uCT) and neutron radiography to study how the microstructure, including the presence of induced cracks, affects their water adsorption. The water distribution and absorptivity were quantified by neutron radiography. The 3D crack propagation, pore size distribution and orientation, tortuosity, and connectivity were analyzed from uCT results using advanced imaging methods. The concrete characterization also included classical methods (e.g., differential thermal-thermogravimetric, X-ray diffractometry, and scanning electron microscopy). Ductile fracture patterns were observed once cracks were introduced. When compared to Portland cement mortar/concrete, Pompeii samples had relatively high porosity, low connectivity, and similar coefficient of capillary penetration. In addition, the permeability was predicted from models based on percolation theory and the pore structure data to evaluate the fluid transport properties.",2020,en,,,,
Image Search for Scientific Data (camBIR) v1. 0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:wbdj-CoPYUoC,"D Ushizima, F Araujo, R Rodrigues Veloso e Silva","Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States); Federal …, 2020","camBIR is the CAMERA based image retrieval, a software that takes several different kinds of imagery, such as 2 dimensional images, both scientific as well as non scientific. camBIR is specially designed for training different kinds of Deep Convolutional Neural Network, including new Deep Learning architectures, such as ResNet, Inception-ResNet, NasNet, DenseNet…. It can be used to automate the classification, sort and rank of X-ray imagery such as microCT, GISAXS, GIWAXS, SAXS and WAXS.",2020,en,,,,
"Building Mathematics, Algorithms, and Software for Experimental Facilities",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:_xSYboBqXhAC,"H Chang, JJ Donatelli, P Enfedaque, G Freychet, M Haranczyk, ...","HANDBOOK ON BIG DATA AND MACHINE LEARNING IN THE PHYSICAL SCIENCES: Volume 2 …, 2020","Technological advances are opening doors to new experimental science, with scientific facilities collecting data at increasing rates and higher resolution. Analyzing this data is a major bottleneck. New mathematic methods and algorithms are needed to extract useful information from experiments. To address these growing needs, the US Department of Energy established the Center for Advanced Mathematics for Energy Research Applications (CAMERA). Through coordinated teams of applied mathematicians, computer scientists, beam-line scientists, materials scientists, computational chemists, and software architects, CAMERA identifies areas in experimental science that can be aided by new mathematical insights, develops the needed algorithmic tools, and delivers them as user-friendly software to the experimental community. Application areas and software releases include X-ray scattering and ptychographic …",2020,en,,,,
Distributed Global Digital Volume Correlation by Optimal Transport,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:a0OBvERweLwC,"JML MacNeil, D Morozov, F Panerai, D Parkinson, H Barnard, D Ushizima","2019 IEEE/ACM 1st Annual Workshop on Large-scale Experiment-in-the-Loop …, 2019","Because of the speed and data rates of time-resolved experiments at facilities such as synchrotron beamlines, automation is critical during time-resolved experiments. In 3D imaging experiments like microCT (CT), this includes recognizing features of interest and “zooming in” spatially and temporally to those features; ideally without requiring advanced information about which features are being imaged. Digital Volume Correlation (DVC) can achieve this by measuring the deformation field between images, but has not been used during autonomous experiments because of the scalability of the codes. In this work, we propose a model for global DVC and a parallel algorithm for solving it for large-scale images, suitable for giving feedback for autonomous experiments at synchrotron-based microCT beamlines. In particular, we leverage recent advancements in entropy-regularized optimal transport to develop efficient …",2019,en,,,,
Entropy Projection Curved Gabor with Random Forest and SVM for Face Recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:u_35RYKgDlwC,"EG Lima Júnior, LHS Vogado, RAL Rabelo, CJP Passarinho, ...","International Symposium on Visual Computing, 235-246, 2019","  In this work, we propose a workflow for face recognition under occlusion using the entropy projection from the curved Gabor filter, and create a representative and compact features vector that describes a face. Despite the reduced vector obtained by the entropy projection, it still presents opportunity for further dimensionality reduction. Therefore, we use a Random Forest classifier as an attribute selector, providing a 97% reduction of the original vector while keeping suitable accuracy. A set of experiments using three public image databases: AR Face, Extended Yale B with occlusion and FERET illustrates the proposed methodology, evaluated using the SVM classifier. The results obtained in the experiments show promising results when compared to the available approaches in the literature, obtaining 98.05% accuracy for the complete AR Face, 97.26% for FERET and 81.66% with Yale with 50% occlusion.",2019,en,,,,
F4‐03‐02: NEUROPATHOLOGICAL SUBSTRATE OF IMAGING BIOMARKERS‐VALIDATING NEUROIMAGING BIOMARKERS IN AD USING HIGH‐RESOLUTION 3D HISTOLOGICAL MAPPING,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:zA6iFVUQeVQC,"M Alegro, H Heinsen, E Amaro Jr, R Eser, D Morales, Y Chen, D Ushizima, ...","Alzheimer's & Dementia 15, P1221-P1222, 2019","BackgroundAlzheimer's disease (AD) follows a characteristic anatomical progression pattern of proteinaceous deposition and neuronal loss, preceding symptom onset by decades. Such predictable progression situates neuroimaging-based tools as ideal biomarkers to diagnose and monitor disease progression in vivo and to enable effective interventions at asymptomatic AD stages. Although potential utility of structural and molecular neuroimaging in AD is widely-accepted, translation of these state-of-the-art in vivo neuroimaging techniques to “imaging biomarkers” and “imaging endpoints” for both clinical practice and clinical trials requires extensive validation of these imaging measures against the underlying true pathophysiology. Voxel-to-voxel correlations between histological and neuroimaging datasets are the gold-standard approach for providing real data-driven, rather than modeling-driven anatomical …",2019,en,,,,
Neural Networks for the Bechmarking of Detection Algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:4OULZ7Gr8RgC,"S Miramontes, D Ushizima",,"There are several automated methods to detect objects from grayscale images. However, materials scientists still lack basic tools to compare different detection results, particularly when working with microtomography. This paper introduces FibCAM, a convolutional neural network (CNN)-based method using TensorFlow that allows benchmarking fiber detection algorithms. Our contribution is three-fold:(a) the design of a computational framework to compare automated fiber detection models with curated datasets through classification;(b) lossless data reduction by embedding prior knowledge into data-driven models;(c) a scheme to decompose computation into embarrassingly parallel processes for future analysis at scale. Our results show how FibCAM classifies different structures, and how it illustrates the material’s composition and frequency distribution of microstructures for improved interpretability of machine learning models. The proposed algorithms support probing the specimen content from gigabyte-sized volumes and enable pinpointing inconsistencies between real structures known a priori and results derived from automated detections.",,en,,,,
Classifying Grazing Incidence X-ray Scattering Patterns via Convolutional Neural Networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:35N4QoGY0k4C,"C Melton, S Liu, A Hexemer, D Ushizima","APS March Meeting Abstracts 2019, A18. 003, 2019","Nano-structured thin films have a variety of applications, such as antireflecting coatings for solar cells, waveguides, gaseous sensors, and piezoelectric devices. Grazing-incidence small-angle X-ray scattering (GISAXS) has become a key technique to determine the morphologies of such thin films. One of the main challenges is to determine the structure information encoded in the data based on scattering patterns alone. We propose a computational scheme that learns the structure of well-defined layers of nanoparticles from GISAXS patterns. We explore this class of thin-film materials in terms of physics-based simulation models and experimental data and apply convolutional neural networks to the simulated data to obtain the encoded information of the morphology. Our classification models categorize millions of simulated scattering patterns with success rates over 94%. In addition, we show how these data-driven …",2019,en,,,,
Parallel Markov Random Fields for Image Segmentation (PMRF-IS) v1. 0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:g5m5HwL7SMYC,"C Heinemann, D Ushizima, D Camp, E Bethel, JA Sethian, TP Costa Leite","Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States), 2018","This software performs multi-label segmentation of 2D/3D images. It is highly accurate, results rely on use of an Markov random field (MRF) formulation. It runs in both shared and distributed memory parallel modes. MRF algorithms are powerful tools in image analysis to explore contextual information of data.",2018,en,,,,
Real-time data-intensive computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:SdhP9T11ey4C,"X Chen, A Hexemer, AA MacDowell, HA Padmore, D Shapiro, N Tamura, ...","AIP Conference Proceedings 1741 (1), 2016","Today users visit synchrotrons as sources of understanding and discovery—not as sources of just light, and not as sources of data. To achieve this, the synchrotron facilities frequently provide not just light but often the entire end station and increasingly, advanced computational facilities that can reduce terabytes of data into a form that can reveal a new key insight. The Advanced Light Source (ALS) has partnered with high performance computing, fast networking, and applied mathematics groups to create a “super-facility”, giving users simultaneous access to the experimental, computational, and algorithmic resources to make this possible. This combination forms an efficient closed loop, where data—despite its high rate and volume—is transferred and processed immediately and automatically on appropriate computing resources, and results are extracted, visualized, and presented to users or to the experimental control system, both to provide immediate insight and to guide decisions about subsequent experiments during beamtime. We will describe our work at the ALS ptychography, scattering, micro-diffraction, and micro-tomography beamlines.",2016,en,,,,
Toward quantitative structure activity relationship (QSAR) models for nanoparticles,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:Tyk-4Ss8FVUC,"K Odziomek, D Ushizima, T Puzyn, M Haranczyk","Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States), 2015","Quantitative structure-activity relationship (QSAR) methods employ linear and non-linear combinations of structural descriptors in prediction of physical-chemical and/or biological properties of chemical substances. Calculation of descriptors requires precise definition of the considered molecule, eg a molecular graph and/or a 3D structure.Nanoparticles (NPs) are another common form of chemicals, ubiquitous in pharmaceuticals, food products, cosmetics, and other technologies. There is much interest in the ability to quantitatively predict their toxicity and other properties related to risk assessment. Nanoparticles exhibit different characteristics than bulk materials or isolated molecules; their samples are typically non-uniform and present various shapes and sizes, which gives rise to their properties. Using conventional,“molecular” QSAR techniques is therefore not possible. We aim to incorporate new nanoparticle descriptors into QSAR-proven statistical modeling methods to provide capability to estimate toxicity or biological impact of nanoparticles without expensive experimental testing.",2015,en,,,,
Quant-CT: Segmenting and Quantifying Computed Tomography,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:r0BpntZqJG4C,"D Ushizima, W Bethel","Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States), 2011","Quant-CT is currently a plugin to ImageJ, designed as a Java-class that provides control mechanism for the user to choose volumes of interest within porous material, followed by the selection of image subsamples for automated tuning of parameters for filters and classifiers, and finally measurement of material geometry, porosity, and visualization. Denoising is mandatory before any image interpretation, and we implemented a new 3D java code that performs bilateral filtering of data. Segmentation of the dense material is essential before any quantifications about geological sample structure, and we invented new schemes to deal with over segmentation when using statistical region merging algorithm to pull out grains that compose imaged material. It make uses of ImageJ API and other standard and thirty-party APIs. Quant-CT conception started in 2011 under Scidac-e sponsor, and details of the first prototype were documented in publications below. While it is used right now for microtomography images, it can potentially be used by anybody with 3D image data obtained by experiment or produced by simulation.",2011,en,,,,
Coupling Physical Models to the Epithelial Cell Differentiation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:lSLTfruPkqcC,C Rycroft,,"Effects of x-ray free-electron laser pulse intensity on the Mn K β 1, 3 x-ray emission spectrum in photosystem II-A case study for metalloprotein crystals and solutions.",,en,f,,,
10 A robust associative watermarking technique based on vector,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:dhFuZR0502QC,"TS Kao, X Zhao, B Ye, EA Carvalho, DM Ushizima, FNS Medeiros, ...",,"A new fast algorithm for the computation of the normalized cross-correlation (NCC) is presented. For a search window of size M and a template of size N, our fast NCC requires only approximately 3N·(M− N+ 1) additions/subtractions without multiplications. Numerical results with 100,000 test signals show that the use of the fast NCC instead of the traditional approaches for the determination of the degree of similarity between a test signal and a reference signal (template) brings about a significant improvement in terms of false negative rate, identification rate and computational cost without a significant increase in false positive rate, especially when signal to noise ratio (SNR) is higher than 4 dB.© 2010 Elsevier Inc. All rights reserved.",,en,,,,
SAR Imagery Segmentation by Statistical Region Growing and Hierarchical Merging,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:MXK_kJrjxJIC,"DM Ushizima, EA Carvalho, FNS Medeiros, CIO Martins, RCP Marques, ...","Digital Signal Processing, 2010","This paper presents an approach to accomplish synthetic aperture radar (SAR) image segmentation, which are corrupted by speckle noise. Some ordinary segmentation techniques may require speckle filtering previously. Our approach performs radar image segmentation using the original noisy pixels as input data, eliminating preprocessing steps, an advantage over most of the current methods. The algorithm comprises a statistical region growing procedure combined with hierarchical region merging to extract regions of interest from SAR images. The region growing step over-segments the input image to enable region aggregation by employing a combination of the Kolmogorov-Smirnov (KS) test with a hierarchical stepwise optimization (HSWO) algorithm for the process coordination. We have tested and assessed the proposed technique on artificially speckled image and real SAR data containing different types of targets.",2010,en,,,,
